model_2,term2,std_mean_diff,lower_95_CI,upper_95_CI
Horvath,Single Exposed,-8.081906227802879e-4,-0.5397184913679753,0.5381021101224148
Horvath,Double Exposed,-0.08685484338053337,-0.6864019206764529,0.5126922339153862
Hannum,Single Exposed,-0.2576549990056172,-0.7854288824674207,0.2701188844561863
Hannum,Double Exposed,-0.3740573880337547,-0.9612150075208837,0.21310023145337442
Pheno,Single Exposed,-0.1888224256957614,-0.6725068715395836,0.2948620201480608
Pheno,Double Exposed,0.12562143446934834,-0.4124859192742434,0.6637287882129401
Grim,Single Exposed,0.006438038648158971,-0.4466051071249998,0.4594811844213177
Grim,Double Exposed,0.30075559336126095,-0.20326278142514514,0.804773968147667
Dunedin,Single Exposed,-0.23495200302280847,-0.7066383994850286,0.23673439343941166
Dunedin,Double Exposed,0.5201069151222956,-0.004652400125752985,1.0448662303703442
YingDamAge,Single Exposed,0.4473136841573498,-0.019333014418562805,0.9139603827332623
YingDamAge,Double Exposed,0.7919788652168139,0.2728263014708465,1.3111314289627813
YingAdaptAge,Single Exposed,-0.9419429161031733,-1.4201570993976016,-0.46372873280874494
YingAdaptAge,Double Exposed,-1.193077739175421,-1.725099330744871,-0.6610561476059709
